Unnamed: 0,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
0,Mohammad Hafeez,4.0,8,1,14,2.0,24.0,DEC,Eden Gardens,20 April 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1,Ishant Sharma,4.0,9,2,14,2.25,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
2,Brett Lee,4.0,9,1,17,2.25,24.0,MI,IS Bindra Stadium,25 April 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
3,Shaun Pollock,4.0,9,1,17,2.25,24.0,CSK,Wankhede Stadium,14 May 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
4,Dominic Thornely,3.0,7,2,12,2.33,9.0,KKR,Wankhede Stadium,16 May 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
5,Sourav Ganguly,3.0,7,1,10,2.33,18.0,RCB,Eden Gardens,08 May 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
6,Sohail Tanvir,4.0,10,3,18,2.5,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
7,Irfan Pathan,4.0,10,1,17,2.5,24.0,RR,IS Bindra Stadium,28 May 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
8,Siddharth Trivedi,3.0,8,1,10,2.66,18.0,DEC,Sawai Mansingh Stadium,09 May 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
9,Manpreet Gony,4.0,11,2,13,2.75,12.0,RCB,Chidambaram,21 May 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
10,MF Maharoof,4.0,11,2,10,2.75,12.0,RR,Arun Jaitley Stadium,19 April 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
11,Shaun Pollock,4.0,12,3,17,3.0,8.0,KKR,Wankhede Stadium,16 May 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
12,Chaminda Vaas,3.0,9,2,11,3.0,9.0,KKR,Eden Gardens,20 April 2008,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
