POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0,Year,Metric,Source_File
1.0,Laxmi Ratan Shukla,0.5,6,3,1.66,DC,Eden Gardens,13 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
2.0,James Hopes,1.0,2,2,3.0,DC,Arun Jaitley Stadium,17 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
3.0,Sohail Tanvir,4.0,14,6,4.0,CSK,Sawai Mansingh Stadium,04 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
4.0,Shoaib Akhtar,3.0,11,4,4.5,DC,Eden Gardens,13 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
5.0,Amit Mishra,4.0,17,5,4.8,DEC,Arun Jaitley Stadium,15 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
6.0,Lakshmipathy Balaji,4.0,24,5,4.8,PBKS,Chidambaram,10 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
7.0,Yo Mahesh,4.0,36,4,6.0,MI,Arun Jaitley Stadium,24 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
8.0,Sohail Tanvir,4.0,14,4,6.0,MI,Sawai Mansingh Stadium,26 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
9.0,Dilhara Fernando,4.0,18,4,6.0,RCB,M. Chinnaswamy Stadium,28 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
10.0,Umar Gul,4.0,23,4,6.0,PBKS,Eden Gardens,25 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
11.0,Makhaya Ntini,4.0,21,4,6.0,KKR,Eden Gardens,18 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
12.0,Glenn McGrath,4.0,29,4,6.0,RCB,Arun Jaitley Stadium,30 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
13.0,Albie Morkel,4.0,32,4,6.0,RCB,Chidambaram,21 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
14.0,Shane Watson,3.0,10,3,6.0,DC,Wankhede Stadium,30 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
15.0,Ashish Nehra,3.0,13,3,6.0,RR,DY Patil Stadium,07 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
16.0,Yuvraj Singh,2.0,12,2,6.0,MI,Wankhede Stadium,21 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
17.0,Ramesh Powar,2.0,22,2,6.0,DC,Arun Jaitley Stadium,17 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
18.0,Pragyan Ojha,2.0,19,2,6.0,DC,Arun Jaitley Stadium,15 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
19.0,Ajit Agarkar,2.0,19,2,6.0,DEC,Eden Gardens,20 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
20.0,Yusuf Pathan,2.0,20,2,6.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
21.0,Dwayne Bravo,2.2,12,2,7.0,RR,DY Patil Stadium,07 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
22.0,Rohan Raje,2.2,16,2,7.0,KKR,Wankhede Stadium,16 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
23.0,Murali Kartik,3.4,17,3,7.33,DEC,Eden Gardens,20 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
24.0,Piyush Chawla,4.0,28,3,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
