Unnamed: 0.1,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0,Year,Metric,Source_File
0,Laxmi Ratan Shukla,0.5,6,3,1.66,DC,Eden Gardens,13 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
1,James Hopes,1.0,2,2,3.0,DC,Arun Jaitley Stadium,17 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
2,Sohail Tanvir,4.0,14,6,4.0,CSK,Sawai Mansingh Stadium,04 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
3,Shoaib Akhtar,3.0,11,4,4.5,DC,Eden Gardens,13 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
4,Amit Mishra,4.0,17,5,4.8,DEC,Arun Jaitley Stadium,15 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
5,Lakshmipathy Balaji,4.0,24,5,4.8,PBKS,Chidambaram,10 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
6,Yo Mahesh,4.0,36,4,6.0,MI,Arun Jaitley Stadium,24 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
7,Sohail Tanvir,4.0,14,4,6.0,MI,Sawai Mansingh Stadium,26 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
8,Dilhara Fernando,4.0,18,4,6.0,RCB,M. Chinnaswamy Stadium,28 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
9,Umar Gul,4.0,23,4,6.0,PBKS,Eden Gardens,25 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
10,Makhaya Ntini,4.0,21,4,6.0,KKR,Eden Gardens,18 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
11,Glenn McGrath,4.0,29,4,6.0,RCB,Arun Jaitley Stadium,30 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
12,Albie Morkel,4.0,32,4,6.0,RCB,Chidambaram,21 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
13,Shane Watson,3.0,10,3,6.0,DC,Wankhede Stadium,30 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
14,Ashish Nehra,3.0,13,3,6.0,RR,DY Patil Stadium,07 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
15,Yuvraj Singh,2.0,12,2,6.0,MI,Wankhede Stadium,21 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
16,Ramesh Powar,2.0,22,2,6.0,DC,Arun Jaitley Stadium,17 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
17,Pragyan Ojha,2.0,19,2,6.0,DC,Arun Jaitley Stadium,15 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
18,Ajit Agarkar,2.0,19,2,6.0,DEC,Eden Gardens,20 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
19,Yusuf Pathan,2.0,20,2,6.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
