POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date,SR,Unnamed: 0,Year,Metric,Source_File
1.0,Adam Gilchrist,109,42,9,10,MI,DY Patil Stadium,27 April 2008,,,2008,Fastest Centuries,Fastest Centuries - 2008.csv
2.0,Sanath Jayasuriya,114,45,9,11,CSK,Wankhede Stadium,14 May 2008,,,2008,Fastest Centuries,Fastest Centuries - 2008.csv
3.0,Andrew Symonds,117,47,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,,,2008,Fastest Centuries,Fastest Centuries - 2008.csv
4.0,Michael Hussey,116,50,8,9,PBKS,IS Bindra Stadium,19 April 2008,,,2008,Fastest Centuries,Fastest Centuries - 2008.csv
5.0,Brendon McCullum,158,53,10,13,RCB,M. Chinnaswamy Stadium,18 April 2008,,,2008,Fastest Centuries,Fastest Centuries - 2008.csv
6.0,Shaun Marsh,115,58,11,7,RR,IS Bindra Stadium,28 May 2008,,,2008,Fastest Centuries,Fastest Centuries - 2008.csv
1.0,Manish Pandey,114,67,10,4,DEC,Supersport Park,21 May 2009,,,2009,Fastest Centuries,Fastest Centuries - 2009.csv
1.0,Yusuf Pathan,100,37,9,8,MI,Brabourne Stadium,13 March 2010,,,2010,Fastest Centuries,Fastest Centuries - 2010.csv
2.0,Murali Vijay,127,46,8,11,RR,Chidambaram,03 April 2010,,,2010,Fastest Centuries,Fastest Centuries - 2010.csv
3.0,Mahela Jayawardena,110,55,14,3,KKR,Eden Gardens,04 April 2010,,,2010,Fastest Centuries,Fastest Centuries - 2010.csv
4.0,David Warner,107,66,9,5,KKR,Arun Jaitley Stadium,29 March 2010,,,2010,Fastest Centuries,Fastest Centuries - 2010.csv
1.0,Chris Gayle,107,46,10,9,PBKS,M. Chinnaswamy Stadium,06 May 2011,,,2011,Fastest Centuries,Fastest Centuries - 2011.csv
2.0,Virender Sehwag,119,48,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,,,2011,Fastest Centuries,Fastest Centuries - 2011.csv
3.0,Paul Valthaty,120,52,19,2,CSK,IS Bindra Stadium,13 April 2011,,,2011,Fastest Centuries,Fastest Centuries - 2011.csv
4.0,Adam Gilchrist,106,53,8,9,RCB,HPCA Stadium,17 May 2011,,,2011,Fastest Centuries,Fastest Centuries - 2011.csv
5.0,Chris Gayle,102,55,10,7,KKR,Eden Gardens,22 April 2011,,,2011,Fastest Centuries,Fastest Centuries - 2011.csv
6.0,Sachin Tendulkar,100,66,12,3,KTK,Wankhede Stadium,15 April 2011,,,2011,Fastest Centuries,Fastest Centuries - 2011.csv
1.0,Murali Vijay,113,51,15,4,DC,Chidambaram,25 May 2012,,,2012,Fastest Centuries,Fastest Centuries - 2012.csv
2.0,David Warner,109,52,10,7,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012,,,2012,Fastest Centuries,Fastest Centuries - 2012.csv
3.0,Rohit Sharma,109,52,12,5,KKR,Eden Gardens,12 May 2012,,,2012,Fastest Centuries,Fastest Centuries - 2012.csv
4.0,Chris Gayle,128,53,7,13,DC,Arun Jaitley Stadium,17 May 2012,,,2012,Fastest Centuries,Fastest Centuries - 2012.csv
5.0,Ajinkya Rahane,103,58,12,5,RCB,M. Chinnaswamy Stadium,15 April 2012,,,2012,Fastest Centuries,Fastest Centuries - 2012.csv
6.0,Kevin Pietersen,103,64,6,9,DEC,Arun Jaitley Stadium,19 April 2012,,,2012,Fastest Centuries,Fastest Centuries - 2012.csv
1.0,Chris Gayle,175,30,13,17,PWI,M. Chinnaswamy Stadium,23 April 2013,,,2013,Fastest Centuries,Fastest Centuries - 2013.csv
2.0,David Miller,101,38,8,7,RCB,IS Bindra Stadium,06 May 2013,,,2013,Fastest Centuries,Fastest Centuries - 2013.csv
3.0,Suresh Raina,100,53,7,6,PBKS,Chidambaram,02 May 2013,,,2013,Fastest Centuries,Fastest Centuries - 2013.csv
4.0,Shane Watson,101,60,6,6,CSK,Chidambaram,22 April 2013,,,2013,Fastest Centuries,Fastest Centuries - 2013.csv
1.0,Wriddhiman Saha,115,49,10,8,KKR,M. Chinnaswamy Stadium,01 June 2014,,,2014,Fastest Centuries,Fastest Centuries - 2014.csv
