POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date,SR,Unnamed: 0,Year,Metric,Source_File
1.0,Yusuf Pathan,61,21,4,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
2.0,Kumar Sangakkara,94,23,13,1,MI,IS Bindra Stadium,25 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
3.0,Virender Sehwag,51,23,2,5,PBKS,Arun Jaitley Stadium,17 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
4.0,Kumar Sangakkara,50,23,7,2,DEC,IS Bindra Stadium,23 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
5.0,Virender Sehwag,71,24,7,4,CSK,Chidambaram,02 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
6.0,James Hopes,71,24,10,3,CSK,IS Bindra Stadium,19 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
7.0,MS Dhoni,65,24,9,3,RCB,M. Chinnaswamy Stadium,28 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
8.0,David Hussey,57,24,4,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
9.0,Sanath Jayasuriya,114,25,9,11,CSK,Wankhede Stadium,14 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
10.0,Rahul Dravid,75,25,6,6,RR,Sawai Mansingh Stadium,17 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
11.0,Albie Morkel,71,26,6,4,RR,Chidambaram,24 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
12.0,Kamran Akmal,53,26,4,3,CSK,Chidambaram,24 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
13.0,Rohit Sharma,50,26,3,4,PBKS,IS Bindra Stadium,23 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
14.0,Shaun Marsh,115,27,11,7,RR,IS Bindra Stadium,28 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
15.0,Virender Sehwag,94,27,10,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
16.0,Dinesh Karthik,56,27,4,3,MI,Arun Jaitley Stadium,24 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
17.0,Adam Gilchrist,109,28,9,10,MI,DY Patil Stadium,27 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
18.0,Venugopal Rao,71,28,4,6,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
19.0,Yusuf Pathan,68,28,9,2,DEC,Sawai Mansingh Stadium,09 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
20.0,Wriddhiman Saha,59,28,2,4,PBKS,IS Bindra Stadium,03 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
21.0,Shane Watson,52,28,4,3,DC,Wankhede Stadium,30 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
22.0,Andrew Symonds,117,29,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
23.0,Graeme Smith,91,29,9,4,CSK,Chidambaram,24 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
24.0,Swapnil Asnodkar,60,29,10,1,KKR,Sawai Mansingh Stadium,01 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
25.0,Yuvraj Singh,57,29,6,3,RR,Sawai Mansingh Stadium,21 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
26.0,Yusuf Pathan,55,29,6,2,KKR,Sawai Mansingh Stadium,01 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
27.0,Kumar Sangakkara,54,29,5,2,CSK,IS Bindra Stadium,19 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
28.0,Ross Taylor,53,30,3,3,CSK,M. Chinnaswamy Stadium,28 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
29.0,James Hopes,51,30,7,1,RR,IS Bindra Stadium,28 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
30.0,Michael Hussey,116,31,8,9,PBKS,IS Bindra Stadium,19 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
31.0,Sanath Jayasuriya,70,31,7,5,DC,Arun Jaitley Stadium,24 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
32.0,Rohit Sharma,66,31,6,4,DC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
33.0,Vidyut Sivaramakrishnan,54,31,7,1,DC,Chidambaram,02 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
34.0,Brendon McCullum,158,32,10,13,RCB,M. Chinnaswamy Stadium,18 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
35.0,Simon Katich,75,32,11,1,DC,IS Bindra Stadium,27 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
36.0,Shane Watson,74,32,5,5,DC,Sawai Mansingh Stadium,11 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
37.0,Venugopal Rao,57,32,4,3,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
38.0,Suresh Raina,55,32,4,4,PBKS,Wankhede Stadium,31 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
39.0,Subramaniam Badrinath,53,32,7,2,MI,Wankhede Stadium,14 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
40.0,Wasim Jaffer,50,32,5,2,CSK,M. Chinnaswamy Stadium,28 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
41.0,Shikhar Dhawan,50,32,4,3,RCB,Arun Jaitley Stadium,30 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
42.0,Matthew Hayden,81,33,12,2,MI,Chidambaram,23 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
43.0,Shaun Marsh,58,33,3,4,CSK,Chidambaram,10 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
44.0,Suresh Raina,53,33,3,3,MI,Chidambaram,23 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
45.0,Gautam Gambhir,79,34,7,3,DEC,Arun Jaitley Stadium,15 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
46.0,Rohit Sharma,76,34,10,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
47.0,Graeme Smith,75,34,8,2,RCB,Sawai Mansingh Stadium,17 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
48.0,Graeme Smith,71,34,9,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
49.0,Shane Watson,61,34,8,2,RCB,M. Chinnaswamy Stadium,26 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
50.0,Parthiv Patel,54,34,5,2,RR,Chidambaram,24 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
51.0,Sanath Jayasuriya,54,34,4,4,RCB,M. Chinnaswamy Stadium,28 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
52.0,Adam Gilchrist,54,34,7,2,CSK,Chidambaram,06 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
53.0,Shaun Marsh,84,35,11,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
54.0,Shaun Marsh,81,35,7,4,MI,Wankhede Stadium,21 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
55.0,Gautam Gambhir,80,35,11,1,CSK,Arun Jaitley Stadium,08 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
56.0,Shane Watson,76,35,5,5,PBKS,Sawai Mansingh Stadium,21 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
57.0,Shaun Marsh,74,35,9,2,RCB,IS Bindra Stadium,12 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
58.0,Niraj Patel,57,35,10,0,PBKS,IS Bindra Stadium,28 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
59.0,Gautam Gambhir,50,35,5,1,CSK,Chidambaram,02 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
60.0,Gautam Gambhir,86,36,11,1,RCB,Arun Jaitley Stadium,30 April 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
61.0,Yusuf Pathan,56,36,3,4,CSK,DY Patil Stadium,01 June 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
62.0,Shikhar Dhawan,68,37,8,0,DEC,Arun Jaitley Stadium,15 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
63.0,Subramaniam Badrinath,64,37,6,3,PBKS,Chidambaram,10 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
64.0,Kumar Sangakkara,64,37,7,2,KKR,Eden Gardens,25 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
65.0,Adam Gilchrist,61,37,9,1,RR,Sawai Mansingh Stadium,09 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
66.0,MS Dhoni,60,37,2,4,PBKS,Chidambaram,10 May 2008,,,2008,Fastest Fifties,Fastest Fifties - 2008.csv
