POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year,Metric,Source_File
1,Sohail Tanvir,4.0,10,3,0.0,18,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
2,Dale Steyn,4.0,28,2,0.0,18,12.0,CSK,Chidambaram,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
3,Brett Lee,4.0,9,1,0.0,17,24.0,MI,IS Bindra Stadium,25 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
4,Shaun Pollock,4.0,9,1,1.0,17,24.0,CSK,Wankhede Stadium,14 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
5,Irfan Pathan,4.0,10,1,0.0,17,24.0,RR,IS Bindra Stadium,28 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
6,Shaun Pollock,4.0,12,3,0.0,17,8.0,KKR,Wankhede Stadium,16 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
7,Dale Steyn,4.0,14,1,0.0,17,24.0,MI,M. Chinnaswamy Stadium,28 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
8,Shanthakumaran Sreesanth,4.0,16,2,0.0,17,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
9,Shane Watson,4.0,19,1,0.0,17,24.0,CSK,Sawai Mansingh Stadium,04 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
10,Vinay Kumar,4.0,27,3,0.0,17,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
11,Glenn McGrath,4.0,12,0,0.0,16,0.0,RR,Sawai Mansingh Stadium,11 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
