Unnamed: 0,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year,Metric,Source_File
0,Sohail Tanvir,4.0,10,3,0,18,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
1,Dale Steyn,4.0,28,2,0,18,12.0,CSK,Chidambaram,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
2,Brett Lee,4.0,9,1,0,17,24.0,MI,IS Bindra Stadium,25 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
3,Shaun Pollock,4.0,9,1,1,17,24.0,CSK,Wankhede Stadium,14 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
4,Irfan Pathan,4.0,10,1,0,17,24.0,RR,IS Bindra Stadium,28 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
5,Shaun Pollock,4.0,12,3,0,17,8.0,KKR,Wankhede Stadium,16 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
6,Dale Steyn,4.0,14,1,0,17,24.0,MI,M. Chinnaswamy Stadium,28 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
7,Shanthakumaran Sreesanth,4.0,16,2,0,17,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
8,Shane Watson,4.0,19,1,0,17,24.0,CSK,Sawai Mansingh Stadium,04 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
9,Vinay Kumar,4.0,27,3,0,17,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
10,Glenn McGrath,4.0,12,0,0,16,0.0,RR,Sawai Mansingh Stadium,11 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
11,Sohail Tanvir,4.0,14,6,0,16,4.0,CSK,Sawai Mansingh Stadium,04 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
12,Manpreet Gony,4.0,14,2,1,16,12.0,PBKS,Wankhede Stadium,31 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
13,Glenn McGrath,4.0,15,2,0,16,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
14,Munaf Patel,4.0,17,3,0,16,8.0,DC,Wankhede Stadium,30 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
15,Dilhara Fernando,4.0,18,4,0,16,6.0,RCB,M. Chinnaswamy Stadium,28 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
16,Mohammad Asif,4.0,19,2,0,16,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
17,Glenn McGrath,4.0,21,1,1,16,24.0,RR,Arun Jaitley Stadium,19 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
18,Ashok Dinda,4.0,12,1,0,15,24.0,MI,Eden Gardens,29 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
19,Sohail Tanvir,4.0,14,4,0,15,6.0,MI,Sawai Mansingh Stadium,26 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
20,Shaun Pollock,4.0,16,2,0,15,12.0,DC,DY Patil Stadium,04 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
21,Piyush Chawla,4.0,16,2,0,15,12.0,MI,IS Bindra Stadium,25 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
22,Irfan Pathan,4.0,18,2,0,15,12.0,KKR,IS Bindra Stadium,03 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
23,Irfan Pathan,4.0,19,2,1,15,12.0,MI,IS Bindra Stadium,25 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
24,Shane Watson,4.0,20,2,0,15,12.0,RCB,M. Chinnaswamy Stadium,26 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
25,Glenn McGrath,4.0,22,0,1,15,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
26,Ajit Agarkar,4.0,25,3,0,15,8.0,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
27,Praveen Kumar,4.0,26,1,0,15,24.0,CSK,Chidambaram,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
28,Mohammad Hafeez,4.0,8,1,0,14,24.0,DEC,Eden Gardens,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
29,Ishant Sharma,4.0,9,2,0,14,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
30,Muttiah Muralitharan,4.0,12,0,0,14,0.0,KKR,Chidambaram,26 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
31,Sanath Jayasuriya,4.0,14,3,1,14,8.0,KKR,Eden Gardens,29 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
32,RP Singh,4.0,15,2,1,14,12.0,MI,DY Patil Stadium,27 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
