POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
1,Kumar Sangakkara,94,56,167.85,13,1,MI,IS Bindra Stadium,25 April 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
2,Matthew Hayden,81,46,176.08,12,2,MI,Chidambaram,23 April 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
3,Sachin Tendulkar,65,46,141.3,12,0,PBKS,Wankhede Stadium,21 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
4,Andrew Symonds,117,53,220.75,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
5,Shaun Marsh,115,69,166.66,11,7,RR,IS Bindra Stadium,28 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
6,Gautam Gambhir,80,49,163.26,11,1,CSK,Arun Jaitley Stadium,08 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
7,Sourav Ganguly,91,57,159.64,11,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
8,Gautam Gambhir,86,54,159.25,11,1,RCB,Arun Jaitley Stadium,30 April 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
9,Simon Katich,75,52,144.23,11,1,DC,IS Bindra Stadium,27 April 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
10,Shaun Marsh,84,62,135.48,11,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
11,Virender Sehwag,94,41,229.26,10,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
12,Brendon McCullum,158,73,216.43,10,13,RCB,M. Chinnaswamy Stadium,18 April 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
13,James Hopes,71,33,215.15,10,3,CSK,IS Bindra Stadium,19 April 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
14,Rohit Sharma,76,42,180.95,10,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
15,Swapnil Asnodkar,60,34,176.47,10,1,KKR,Sawai Mansingh Stadium,01 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
16,Luke Pomersbach,79,50,158.0,10,3,MI,Wankhede Stadium,21 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
17,Niraj Patel,57,39,146.15,10,0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
18,Salman Butt,73,54,135.18,10,1,CSK,Eden Gardens,18 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
19,Virender Sehwag,47,19,247.36,9,1,RCB,M. Chinnaswamy Stadium,19 May 2008,2008,Most Fours Innings,Most Fours Innings - 2008.csv
