POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Year,Metric,Source_File
1,RP Singh,4.0,59,1,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
2,Palani Amarnath,4.0,57,1,24.0,MI,Chidambaram,23 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
3,Vikram Singh,4.0,56,0,0.0,MI,Wankhede Stadium,21 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
4,Munaf Patel,4.0,55,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
5,Munaf Patel,4.0,55,1,24.0,CSK,Chidambaram,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
6,Jacob Oram,4.0,53,0,0.0,MI,Chidambaram,23 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
7,James Hopes,4.0,53,1,24.0,CSK,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
8,Mohammad Asif,4.0,51,0,0.0,DEC,Arun Jaitley Stadium,15 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
9,Pradeep Sangwan,3.0,51,0,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
10,RP Singh,4.0,50,0,0.0,DC,Arun Jaitley Stadium,15 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
11,Brett Geeves,4.0,50,1,24.0,MI,Arun Jaitley Stadium,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
12,Yo Mahesh,4.0,50,2,12.0,RR,Wankhede Stadium,30 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
13,Ishant Sharma,4.0,49,0,0.0,PBKS,Eden Gardens,25 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
14,Siddharth Trivedi,4.0,48,0,0.0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
15,Jacques Kallis,4.0,48,1,24.0,KKR,M. Chinnaswamy Stadium,18 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
16,Pankaj Singh,3.0,48,0,0.0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
17,Anil Kumble,4.0,47,0,0.0,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
18,Shane Warne,4.0,47,0,0.0,DC,Sawai Mansingh Stadium,11 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
19,Rajat Bhatia,4.0,47,0,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
20,Joginder Sharma,4.0,47,1,24.0,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
21,Pragyan Ojha,4.0,47,1,24.0,RR,Sawai Mansingh Stadium,09 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
22,Shane Warne,4.0,47,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
23,Irfan Pathan,4.0,47,2,12.0,CSK,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
24,Zaheer Khan,4.0,46,0,0.0,RR,Sawai Mansingh Stadium,17 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
25,Ajit Agarkar,4.0,46,1,24.0,RR,Sawai Mansingh Stadium,01 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
26,Mohammad Asif,4.0,46,1,24.0,MI,DY Patil Stadium,04 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
