Unnamed: 0,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Year,Metric,Source_File
0,RP Singh,4.0,59,1,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
1,Palani Amarnath,4.0,57,1,24.0,MI,Chidambaram,23 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
2,Vikram Singh,4.0,56,0,0.0,MI,Wankhede Stadium,21 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
3,Munaf Patel,4.0,55,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
4,Munaf Patel,4.0,55,1,24.0,CSK,Chidambaram,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
5,Jacob Oram,4.0,53,0,0.0,MI,Chidambaram,23 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
6,James Hopes,4.0,53,1,24.0,CSK,IS Bindra Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
7,Mohammad Asif,4.0,51,0,0.0,DEC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
8,Pradeep Sangwan,3.0,51,0,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
9,RP Singh,4.0,50,0,0.0,DC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
10,Brett Geeves,4.0,50,1,24.0,MI,Arun Jaitley Stadium,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
