POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
1,Virender Sehwag,30,6,500.0,3,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
2,Sanath Jayasuriya,26,5,520.0,2,3,CSK,Wankhede Stadium,14 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
3,MF Maharoof,26,5,520.0,0,4,RR,Sawai Mansingh Stadium,11 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
4,Rohit Sharma,26,6,433.33,3,2,DC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
5,Shane Watson,26,6,433.33,5,1,RCB,M. Chinnaswamy Stadium,26 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
6,Misbah-ul-Haq,24,6,400.0,1,3,DC,M. Chinnaswamy Stadium,19 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
7,MS Dhoni,23,6,383.33,4,1,RCB,M. Chinnaswamy Stadium,28 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
8,Kamran Akmal,23,6,383.33,1,3,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
9,Albie Morkel,23,6,383.33,1,3,DC,Arun Jaitley Stadium,08 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
10,Brendon McCullum,22,6,366.66,0,3,RCB,M. Chinnaswamy Stadium,18 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
11,Adam Gilchrist,22,5,440.0,1,3,MI,DY Patil Stadium,27 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
12,Venugopal Rao,22,6,366.66,1,3,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
13,Sanath Jayasuriya,22,5,440.0,2,2,KKR,Wankhede Stadium,16 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
14,Rohit Sharma,21,6,350.0,1,2,PBKS,IS Bindra Stadium,23 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
15,Virender Sehwag,21,5,420.0,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
16,Adam Gilchrist,20,6,333.33,2,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
17,Sanath Jayasuriya,20,6,333.33,2,2,CSK,Wankhede Stadium,14 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
18,David Hussey,20,6,333.33,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
19,Shahid Afridi,20,5,400.0,2,2,CSK,Chidambaram,06 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
20,Piyush Chawla,20,5,400.0,3,1,KKR,IS Bindra Stadium,03 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
21,Shaun Pollock,19,4,475.0,0,3,DC,DY Patil Stadium,04 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
22,Shane Watson,19,5,380.0,1,2,DC,Wankhede Stadium,30 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
23,Mohammad Kaif,19,5,380.0,0,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
