POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
1,Brendon McCullum,158,73,216.43,10,13,RCB,M. Chinnaswamy Stadium,18 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
2,Sanath Jayasuriya,114,48,237.5,9,11,CSK,Wankhede Stadium,14 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
3,Adam Gilchrist,109,47,231.91,9,10,MI,DY Patil Stadium,27 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
4,Michael Hussey,116,54,214.81,8,9,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
5,Andrew Symonds,117,53,220.75,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
6,Shaun Marsh,115,69,166.66,11,7,RR,IS Bindra Stadium,28 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
7,Yuvraj Singh,49,16,306.25,2,6,RR,IS Bindra Stadium,28 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
8,Virender Sehwag,94,41,229.26,10,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
9,Yusuf Pathan,61,28,217.85,4,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
10,Rahul Dravid,75,36,208.33,6,6,RR,Sawai Mansingh Stadium,17 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
11,Venugopal Rao,71,42,169.04,4,6,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
12,Sourav Ganguly,86,53,162.26,6,6,PBKS,Eden Gardens,25 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
13,Virender Sehwag,51,26,196.15,2,5,PBKS,Arun Jaitley Stadium,17 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
14,Shane Watson,74,40,185.0,5,5,DC,Sawai Mansingh Stadium,11 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
15,Sanath Jayasuriya,70,42,166.66,7,5,DC,Arun Jaitley Stadium,24 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
16,Sourav Ganguly,91,57,159.64,11,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
17,Shane Watson,76,49,155.1,5,5,PBKS,Sawai Mansingh Stadium,21 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
18,MF Maharoof,39,16,243.75,2,4,RR,Sawai Mansingh Stadium,11 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
19,Yusuf Pathan,45,21,214.28,3,4,DC,Wankhede Stadium,30 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
20,Misbah-ul-Haq,47,25,188.0,2,4,DC,M. Chinnaswamy Stadium,19 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
21,Rohit Sharma,50,27,185.18,3,4,PBKS,IS Bindra Stadium,23 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
22,Wriddhiman Saha,59,32,184.37,2,4,PBKS,IS Bindra Stadium,03 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
23,Rohit Sharma,66,36,183.33,6,4,DC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
24,Graeme Smith,91,51,178.43,9,4,CSK,Chidambaram,24 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
25,Albie Morkel,71,40,177.5,6,4,RR,Chidambaram,24 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
26,Virender Sehwag,71,41,173.17,7,4,CSK,Chidambaram,02 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
27,Suresh Raina,55,34,161.76,4,4,PBKS,Wankhede Stadium,31 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
28,David Hussey,71,46,154.34,4,4,PBKS,IS Bindra Stadium,03 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
29,Shaun Marsh,58,38,152.63,3,4,CSK,Chidambaram,10 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
30,Sanath Jayasuriya,54,37,145.94,4,4,RCB,M. Chinnaswamy Stadium,28 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
31,Shaun Marsh,81,56,144.64,7,4,MI,Wankhede Stadium,21 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
32,Yusuf Pathan,56,39,143.58,3,4,CSK,DY Patil Stadium,01 June 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
33,MS Dhoni,60,43,139.53,2,4,PBKS,Chidambaram,10 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
34,Balachandra Akhil,27,7,385.71,2,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
35,Kamran Akmal,24,8,300.0,1,3,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
36,Yuvraj Singh,23,8,287.5,1,3,DC,Arun Jaitley Stadium,17 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
37,Sanath Jayasuriya,48,17,282.35,6,3,KKR,Wankhede Stadium,16 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
38,Yusuf Pathan,48,18,266.66,5,3,KKR,Eden Gardens,20 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
39,Yusuf Pathan,39,15,260.0,3,3,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
40,Suresh Raina,32,13,246.15,2,3,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
41,Irfan Pathan,40,18,222.22,3,3,CSK,Chidambaram,10 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
42,Shaun Pollock,33,15,220.0,2,3,DC,DY Patil Stadium,04 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
43,Ross Taylor,44,20,220.0,6,3,RR,M. Chinnaswamy Stadium,26 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
44,Umar Gul,24,11,218.18,1,3,PBKS,Eden Gardens,25 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
45,MS Dhoni,65,30,216.66,9,3,RCB,M. Chinnaswamy Stadium,28 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
46,David Hussey,26,12,216.66,1,3,RCB,Eden Gardens,08 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
47,James Hopes,71,33,215.15,10,3,CSK,IS Bindra Stadium,19 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
48,Mohammad Kaif,34,16,212.5,2,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
49,Luke Pomersbach,25,12,208.33,0,3,DC,Arun Jaitley Stadium,17 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
50,Harbhajan Singh,28,14,200.0,1,3,CSK,Chidambaram,23 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
51,Albie Morkel,30,15,200.0,2,3,DC,Arun Jaitley Stadium,08 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
52,Virender Sehwag,40,20,200.0,3,3,MI,DY Patil Stadium,04 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
53,David Hussey,57,29,196.55,4,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
54,Kamran Akmal,53,28,189.28,4,3,CSK,Chidambaram,24 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
