POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Unnamed: 0,Year,Metric,Source_File
1.0,Sohail Tanvir,11,11,41.1,266,22,6/14,12.09,6.46,11.22,1,1,,2008,Most Wickets,Most Wickets - 2008.csv
2.0,Shane Warne,15,15,52.0,404,19,3/19,21.26,7.76,16.42,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
3.0,Shanthakumaran Sreesanth,15,15,51.1,442,19,3/29,23.26,8.63,16.15,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
4.0,Shane Watson,15,15,54.1,383,17,3/10,22.52,7.07,19.11,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
5.0,Manpreet Gony,16,16,60.0,443,17,3/34,26.05,7.38,21.17,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
6.0,Piyush Chawla,15,15,46.5,389,17,3/25,22.88,8.3,16.52,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
7.0,Albie Morkel,13,13,48.0,399,17,4/32,23.47,8.31,16.94,1,0,,2008,Most Wickets,Most Wickets - 2008.csv
8.0,Yo Mahesh,11,11,42.1,370,16,4/36,23.12,8.77,15.81,1,0,,2008,Most Wickets,Most Wickets - 2008.csv
9.0,Irfan Pathan,14,14,53.0,350,15,2/18,23.33,6.6,21.2,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
10.0,MF Maharoof,10,10,36.0,249,15,3/34,16.6,6.91,14.4,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
11.0,RP Singh,14,14,51.2,442,15,3/35,29.46,8.61,20.53,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
12.0,Munaf Patel,15,15,55.0,420,14,3/17,30.0,7.63,23.57,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
13.0,Siddharth Trivedi,15,15,48.0,399,13,2/25,30.69,8.31,22.15,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
14.0,Zaheer Khan,11,11,42.0,357,13,3/38,27.46,8.5,19.38,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
15.0,Glenn McGrath,14,14,54.0,357,12,4/29,29.75,6.61,27.0,1,0,,2008,Most Wickets,Most Wickets - 2008.csv
16.0,Ashish Nehra,14,14,44.5,348,12,3/13,29.0,7.76,22.41,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
17.0,Umar Gul,6,6,22.3,184,12,4/23,15.33,8.17,11.25,1,0,,2008,Most Wickets,Most Wickets - 2008.csv
18.0,Shaun Pollock,13,13,46.0,301,11,3/12,27.36,6.54,25.09,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
19.0,Muttiah Muralitharan,15,15,58.0,404,11,2/39,36.72,6.96,31.63,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
20.0,Amit Mishra,6,6,19.5,142,11,5/17,12.9,7.15,10.81,0,1,,2008,Most Wickets,Most Wickets - 2008.csv
21.0,Pragyan Ojha,13,12,37.0,284,11,2/18,25.81,7.67,20.18,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
22.0,Dhawal Kulkarni,10,10,29.3,236,11,3/33,21.45,8.0,16.09,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
23.0,Dwayne Bravo,9,9,28.3,232,11,3/24,21.09,8.14,15.54,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
24.0,Praveen Kumar,13,13,44.4,366,11,3/23,33.27,8.19,24.36,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
25.0,Lakshmipathy Balaji,9,9,33.0,286,11,5/24,26.0,8.66,18.0,0,1,,2008,Most Wickets,Most Wickets - 2008.csv
26.0,Vikram Singh,13,13,48.0,420,11,3/29,38.18,8.75,26.18,0,0,,2008,Most Wickets,Most Wickets - 2008.csv
